timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
8818,275,6.531,89,26.7,,,,
8922,276,8.538,104,26.9,,,,
8962,277,2.028,40,26.97,,,,
9000,278,2.035,38,27.03,,,,
9081,279,5.716,81,27.17,,,,
9125,280,2.548,44,27.24,,,,
9182,281,3.663,57,27.36,,,,
9193,282,0.274,11,27.38,,,,
9246,283,3.343,53,27.47,,,,
9291,284,2.397,45,27.55,,,,
9429,285,9.474,138,27.83,,,,
9526,286,7.337,97,28.03,,,,
9645,287,8.014,119,28.25,,,,
9765,288,7.207,120,28.46,,,,
9805,289,2.112,40,28.54,,,,
9856,290,2.945,51,28.63,,,,
9917,291,3.521,61,28.74,,,,
9953,292,1.916,36,28.8,,,,
9988,293,1.801,35,28.87,,,,
10038,294,2.762,50,29.28,,,,
10089,295,2.965,51,29.38,,,,
10102,296,0.364,13,29.41,,,,
10134,297,1.718,32,29.46,,,,
10177,298,2.373,43,29.54,,,,
10274,299,6.328,97,31.78,,,,
10317,300,2.145,43,31.86,,,,
10418,301,7.086,101,32.03,,,,
10463,302,2.4,45,32.11,,,,
10572,303,5.283,109,32.31,,,,
10613,304,2.181,41,32.39,,,,
10647,305,1.759,34,32.46,,,,
10724,306,4.988,77,32.61,,,,
10789,307,3.601,65,32.74,,,,
10851,308,3.592,62,32.86,,,,
10961,309,7.539,110,33.07,,,,
11023,310,3.302,62,33.18,,,,
11120,311,6.494,97,33.35,,,,
11212,312,6.154,92,33.52,,,,
11277,313,3.599,65,33.63,,,,
11379,314,6.426,102,33.82,,,,
11426,315,2.185,47,33.9,,,,
11498,316,4.326,72,34.03,,,,
11593,317,6.528,95,34.2,,,,
11697,318,6.846,104,34.38,,,,
11742,319,2.334,45,34.46,,,,
11790,320,2.305,48,34.55,,,,
11837,321,2.415,47,34.64,,,,
11905,322,3.848,68,34.79,,,,
11942,323,1.847,37,34.85,,,,
11992,324,2.42,50,34.94,,,,
12083,325,5.615,91,35.11,,,,
12136,326,2.409,53,35.2,,,,
12206,327,4.257,70,35.32,,,,
12280,328,3.816,74,35.46,,,,
12343,329,3.425,63,37.83,,,,
12419,330,3.852,76,37.96,,,,
12516,331,6.183,97,38.13,,,,
12581,332,3.427,65,38.23,,,,
12694,333,7.034,113,38.46,,,,
12795,334,5.597,101,38.66,,,,
12893,335,6.047,98,38.86,,,,
12988,336,6.077,95,39.06,,,,
13091,337,6.64,103,39.24,,,,
13196,338,6.518,105,39.42,,,,
13277,339,4.881,81,39.55,,,,
13380,340,6.339,103,39.76,,,,
13476,341,5.667,96,39.93,,,,
13575,342,6.307,99,40.1,,,,
13660,343,4.527,85,40.25,,,,
13704,344,2.061,44,40.33,,,,
