timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
5763,268,-2.087,10,0.97,,
5784,269,6.378,21,0.97,,
5809,270,-9.645,25,0.98,,
5824,271,4.218,15,0.98,,
5850,272,4.545,26,0.98,,
5875,273,1.306,25,0.99,,
5899,274,-1.343,24,0.99,,
5914,275,-5.067,15,0.99,,
5942,276,1.363,28,1.0,,
5955,277,0.648,13,1.0,,
5968,278,-3.173,13,1.0,,
6007,279,16.713,39,1.01,,
6023,280,-0.407,16,1.01,,
6046,281,-2.493,23,1.02,,
6062,282,-3.699,16,1.02,,
6079,283,3.178,17,1.02,,
6097,284,-0.609,18,1.02,,
6121,285,5.422,24,1.03,,
6153,286,4.632,32,1.03,,
6171,287,3.301,18,1.04,,
6187,288,2.295,16,1.04,,
6222,289,18.184,35,1.05,,
6241,290,-0.494,19,1.05,,
6264,291,10.584,23,1.06,,
6279,292,1.281,15,1.06,,
6310,293,6.196,31,1.07,,
6334,294,-2.346,24,1.08,,
6359,295,-1.126,25,1.08,,
6382,296,5.645,23,1.09,,
6397,297,0.344,15,1.09,,
6411,298,1.016,14,1.09,,
6428,299,-3.275,17,1.09,,
6454,300,1.769,26,1.1,,
6491,301,1.974,37,1.11,,
6502,302,-3.584,11,1.11,,
6519,303,0.839,17,1.11,,
6548,304,12.37,29,1.12,,
6567,305,-3.69,19,1.12,,
6584,306,0.832,17,1.12,,
6596,307,-2.824,12,1.13,,
6624,308,-1.88,28,1.13,,
6662,309,7.062,38,1.14,,
6679,310,-5.029,17,1.14,,
6713,311,15.388,34,1.15,,
6748,312,8.828,35,1.15,,
6766,313,1.226,18,1.15,,
6783,314,4.058,17,1.16,,
6795,315,-4.263,12,1.16,,
6809,316,-1.738,14,1.16,,
6825,317,2.194,16,1.16,,
6845,318,-3.975,20,1.17,,
6864,319,-2.349,19,1.17,,
6876,320,-2.102,12,1.17,,
6885,321,-2.976,9,1.17,,
6903,322,-3.937,18,1.18,,
6934,323,3.021,31,1.18,,
6950,324,3.52,16,1.18,,
6995,325,5.225,45,1.19,,
7007,326,-1.69,12,1.19,,
7023,327,-7.606,16,1.2,,
7033,328,-3.717,10,1.2,,
7067,329,19.964,34,1.2,,
7082,330,-2.316,15,1.21,,
7126,331,22.731,44,1.21,,
7142,332,-1.038,16,1.22,,
7155,333,-0.908,13,1.22,,
7170,334,5.572,15,1.22,,
7179,335,-3.047,9,1.22,,
7193,336,-0.983,14,1.22,,
7210,337,1.971,17,1.23,,
7238,338,5.362,28,1.23,,
7263,339,0.622,25,1.24,,
7282,340,-0.247,19,1.24,,
7311,341,0.87,29,1.24,,
7326,342,-3.486,15,1.25,,
7338,343,-0.773,12,1.25,,
7360,344,11.462,22,1.25,,
7389,345,17.144,29,1.25,,
7401,346,1.088,12,1.26,,
7419,347,-3.13,18,1.26,,
7431,348,-3.838,12,1.26,,
7447,349,2.161,16,1.26,,
7481,350,10.567,34,1.27,,
7515,351,4.133,34,1.27,,
7533,352,-1.341,18,1.28,,
7544,353,-5.689,11,1.28,,
7559,354,-0.443,15,1.28,,
7578,355,3.048,19,1.28,,
7589,356,-3.001,11,1.29,,
7610,357,4.257,21,1.29,,
7642,358,7.577,32,1.3,,
7655,359,-5.557,13,1.3,,
7664,360,-2.526,9,1.3,,
7678,361,-0.186,14,1.3,,
7714,362,2.292,36,1.31,,
7733,363,-4.726,19,1.31,,
7778,364,11.579,45,1.32,,
7805,365,-3.125,27,1.32,,
7823,366,-1.703,18,1.33,,
7845,367,1.751,22,1.33,,
7858,368,-4.901,13,1.33,,
7881,369,-9.371,23,1.33,,
7903,370,-3.751,22,1.34,,
7924,371,-8.148,21,1.34,,
7944,372,-0.01,20,1.35,,
7957,373,-0.32,13,1.35,,
7970,374,-5.783,13,1.35,,
7994,375,-2.291,24,1.35,,
8005,376,-0.949,11,1.36,,
8028,377,5.042,23,1.36,,
8052,378,7.232,24,1.36,,
8073,379,-2.974,21,1.37,,
8093,380,3.777,20,1.37,,
8121,381,8.551,28,1.38,,
8153,382,7.104,32,1.38,,
8176,383,6.718,23,1.38,,
8187,384,-2.414,11,1.39,,
8201,385,-2.925,14,1.39,,
8235,386,-1.782,34,1.39,,
8252,387,2.814,17,1.4,,
8264,388,-0.432,12,1.4,,
8302,389,15.857,38,1.41,,
8320,390,-4.87,18,1.41,,
8335,391,0.09,15,1.41,,
8353,392,-1.813,18,1.41,,
8373,393,-4.184,20,1.42,,
8387,394,1.201,14,1.42,,
8400,395,-1.966,13,1.42,,
8427,396,7.582,27,1.43,,
8441,397,-4.027,14,1.43,,
8474,398,12.319,33,1.43,,
8487,399,-3.408,13,1.44,,
8505,400,-0.851,18,1.44,,
8528,401,0.209,23,1.44,,
8548,402,7.919,20,1.45,,
8558,403,-0.305,10,1.45,,
8570,404,-0.024,12,1.45,,
8580,405,-5.124,10,1.45,,
8598,406,-1.457,18,1.45,,
8641,407,15.65,43,1.46,,
8652,408,-0.202,11,1.46,,
8665,409,-1.523,13,1.47,,
8693,410,5.733,28,1.47,,
8718,411,0.996,25,1.47,,
8729,412,-4.183,11,1.48,,
8740,413,-1.178,11,1.48,,
8757,414,3.959,17,1.48,,
8783,415,-1.22,26,1.48,,
8800,416,4.305,17,1.49,,
8818,417,-0.448,18,1.49,,
8832,418,0.094,14,1.49,,
8843,419,-1.556,11,1.49,,
8866,420,4.862,23,1.5,,
8901,421,17.461,35,1.5,,
8912,422,-1.929,11,1.51,,
8933,423,1.72,21,1.51,,
8945,424,-6.06,12,1.51,,
8962,425,-0.5,17,1.51,,
8978,426,2.821,16,1.52,,
8994,427,1.556,16,1.52,,
9027,428,-0.347,33,1.52,,
9060,429,13.019,33,1.53,,
9077,430,-2.794,17,1.53,,
9092,431,2.472,15,1.53,,
9120,432,3.254,28,1.54,,
9138,433,-4.625,18,1.54,,
9155,434,4.183,17,1.54,,
9190,435,24.117,35,1.55,,
9217,436,8.034,27,1.55,,
9232,437,-2.853,15,1.56,,
9264,438,5.166,32,1.57,,
9283,439,1.879,19,1.57,,
9299,440,1.707,16,1.58,,
9313,441,-6.222,14,1.58,,
9333,442,-7.273,20,1.58,,
9347,443,-1.329,14,1.59,,
9375,444,7.423,28,1.59,,
9401,445,-0.425,26,1.6,,
9433,446,1.346,32,1.6,,
9461,447,1.166,28,1.61,,
9476,448,1.916,15,1.61,,
9491,449,4.155,15,1.61,,
9506,450,-0.938,15,1.61,,
9524,451,4.19,18,1.62,,
9537,452,-3.779,13,1.62,,
9567,453,4.426,30,1.62,,
9596,454,9.015,29,1.63,,
9622,455,-3.974,26,1.63,,
9633,456,-0.561,11,1.64,,
9650,457,5.43,17,1.64,,
9689,458,16.515,39,1.64,,
9715,459,1.468,26,1.65,,
9750,460,20.666,35,1.65,,
9773,461,-6.109,23,1.66,,
9802,462,3.899,29,1.66,,
9822,463,0.712,20,1.67,,
9846,464,-0.876,24,1.67,,
9866,465,3.906,20,1.67,,
9888,466,3.725,22,1.68,,
9904,467,2.933,16,1.68,,
9933,468,11.359,29,1.69,,
9948,469,4.334,15,1.69,,
9964,470,2.609,16,1.69,,
9983,471,3.57,19,1.69,,
10000,472,6.593,17,1.7,,
10018,473,1.217,18,1.98,,
10045,474,3.14,27,1.99,,
10059,475,-8.223,14,1.99,,
10088,476,4.363,29,1.99,,
10108,477,-1.749,20,2.0,,
10117,478,-3.914,9,2.0,,
10134,479,1.776,17,2.01,,
10157,480,-4.958,23,2.01,,
10170,481,1.471,13,2.01,,
10196,482,-3.82,26,2.02,,
10206,483,-1.303,10,2.02,,
10223,484,1.743,17,2.02,,
10235,485,-0.431,12,2.02,,
10257,486,2.132,22,2.03,,
10275,487,5.463,18,2.03,,
10294,488,3.563,19,2.03,,
10303,489,-3.259,9,2.03,,
10316,490,0.984,13,2.04,,
10349,491,12.965,33,2.04,,
10375,492,12.868,26,2.05,,
10389,493,-1.715,14,2.05,,
10441,494,12.257,52,2.06,,
10463,495,7.806,22,2.06,,
10480,496,3.674,17,2.06,,
10526,497,3.166,46,2.07,,
10543,498,4.989,17,2.07,,
10557,499,-1.61,14,2.08,,
10584,500,-3.246,27,2.08,,
10600,501,-5.067,16,2.08,,
10613,502,-4.038,13,2.09,,
10643,503,18.001,30,2.09,,
10670,504,9.498,27,2.09,,
10683,505,1.086,13,2.1,,
10703,506,-3.352,20,2.1,,
10713,507,-2.582,10,2.1,,
10727,508,-4.367,14,2.1,,
10736,509,-1.346,9,2.11,,
10783,510,29.107,47,2.11,,
10805,511,1.867,22,2.12,,
10826,512,0.33,21,2.12,,
10850,513,6.447,24,2.13,,
10865,514,2.525,15,2.13,,
10884,515,5.975,19,2.13,,
10909,516,-1.741,25,2.14,,
10931,517,6.261,22,2.14,,
10950,518,6.27,19,2.14,,
10998,519,12.11,48,2.15,,
11020,520,-3.674,22,2.15,,
11035,521,-0.053,15,2.16,,
11053,522,-0.405,18,2.16,,
11061,523,-3.278,8,2.16,,
11102,524,19.622,41,2.17,,
11117,525,2.807,15,2.17,,
11135,526,3.367,18,2.17,,
11154,527,-5.752,19,2.18,,
11178,528,11.695,24,2.18,,
11189,529,-0.432,11,2.18,,
11208,530,-3.307,19,2.19,,
11233,531,-2.45,25,2.19,,
11266,532,-0.981,33,2.2,,
11296,533,2.196,30,2.2,,
11318,534,0.749,22,2.2,,
11333,535,-0.057,15,2.21,,
11347,536,-1.145,14,2.21,,
11385,537,12.762,38,2.22,,
11395,538,-1.145,10,2.22,,
11413,539,2.019,18,2.22,,
11434,540,5.061,21,2.22,,
11456,541,-4.205,22,2.23,,
11486,542,-7.817,30,2.23,,
11508,543,-8.294,22,2.24,,
11528,544,7.917,20,2.24,,
11549,545,3.577,21,2.24,,
11566,546,3.78,17,2.25,,
11596,547,9.617,30,2.25,,
11623,548,5.19,27,2.26,,
11639,549,-2.567,16,2.26,,
11655,550,3.421,16,2.26,,
11668,551,-3.413,13,2.26,,
11683,552,-4.451,15,2.27,,
11704,553,-1.968,21,2.27,,
11717,554,-3.843,13,2.27,,
11737,555,-3.069,20,2.27,,
11761,556,5.133,24,2.28,,
11780,557,0.16,19,2.28,,
11788,558,-2.768,8,2.28,,
11804,559,0.481,16,2.29,,
11820,560,4.986,16,2.29,,
11840,561,3.438,20,2.29,,
11860,562,-7.388,20,2.29,,
11888,563,1.04,28,2.3,,
11911,564,-6.854,23,2.3,,
11926,565,2.643,15,2.3,,
11950,566,10.153,24,2.31,,
11969,567,-4.384,19,2.31,,
11981,568,-2.531,12,2.31,,
12006,569,12.421,25,2.32,,
12035,570,1.906,29,2.32,,
12086,571,22.233,51,2.33,,
12103,572,6.888,17,2.33,,
12116,573,-1.517,13,2.34,,
12142,574,-0.132,26,2.34,,
12155,575,3.104,13,2.34,,
12180,576,12.499,25,2.35,,
12200,577,5.403,20,2.35,,
12212,578,-0.404,12,2.35,,
12244,579,14.498,32,2.36,,
12258,580,2.196,14,2.36,,
12274,581,-0.224,16,2.37,,
12295,582,-3.705,21,2.37,,
12306,583,-6.672,11,2.38,,
12315,584,-5.223,9,2.38,,
12335,585,-4.851,20,2.38,,
12353,586,2.56,18,2.39,,
12367,587,-7.246,14,2.39,,
12401,588,-0.148,34,2.39,,
12428,589,2.298,27,2.4,,
12447,590,9.804,19,2.4,,
12468,591,2.555,21,2.41,,
12508,592,20.624,40,2.41,,
12518,593,-1.909,10,2.42,,
12535,594,3.85,17,2.42,,
12549,595,-0.139,14,2.42,,
12578,596,8.744,29,2.43,,
12597,597,-2.343,19,2.43,,
12608,598,-4.047,11,2.43,,
12625,599,-1.975,17,2.44,,
12651,600,-1.689,26,2.44,,
12681,601,6.347,30,2.45,,
12696,602,0.722,15,2.45,,
12709,603,-1.746,13,2.45,,
12745,604,17.79,36,2.46,,
12782,605,17.624,37,2.46,,
12826,606,3.957,44,2.47,,
12840,607,0.383,14,2.47,,
12851,608,-0.537,11,2.48,,
12862,609,-0.464,11,2.48,,
12874,610,-2.416,12,2.48,,
12898,611,-2.428,24,2.48,,
12921,612,8.08,23,2.49,,
12933,613,-1.512,12,2.49,,
12971,614,18.637,38,2.49,,
13004,615,6.077,33,2.5,,
13014,616,-1.798,10,2.5,,
13032,617,-3.589,18,2.51,,
13053,618,3.08,21,2.51,,
13070,619,-2.841,17,2.51,,
13085,620,-0.084,15,2.51,,
13100,621,3.486,15,2.52,,
13114,622,1.69,14,2.52,,
13125,623,1.619,11,2.52,,
13133,624,-3.526,8,2.52,,
13146,625,0.356,13,2.52,,
13162,626,-0.761,16,2.53,,
13181,627,4.624,19,2.53,,
13215,628,13.177,34,2.53,,
13226,629,-3.921,11,2.54,,
13254,630,8.749,28,2.54,,
13280,631,-0.627,26,2.55,,
13305,632,1.158,25,2.55,,
13322,633,-0.766,17,2.55,,
13342,634,3.267,20,2.56,,
13356,635,1.457,14,2.56,,
13373,636,-0.524,17,2.56,,
13400,637,2.744,27,2.56,,
13421,638,10.057,21,2.57,,
13435,639,-0.432,14,2.57,,
